protein:	color
GPCPD1	35
GP1BB	35
CAB39	35
NMRK1	35
LRRC20	35
CHAD	35
CAPZA3	35
DCN	35
SHOC2	35
NMRK2	35
LRRTM4	35
GP9	35
BOK	35
PDE6A	36
PDE2A	36
PDE7B	36
PDE4B	36
PDE7A	36
PDE4C	36
PDE10A	36
PDE11A	36
PDE9A	36
PDE5A	36
PDE4D	36
PDE6C	36
PDE6B	36
PDE4A	36
ADRA2C	37
PTGDR2	37
CXCL16	37
CNR1	37
OPRL1	37
NPY5R	37
C3AR1	37
SSTR1	37
PDYN	37
SSTR2	37
PENK	37
PTGER3	37
TAS2R3	37
SUCNR1	37
RXFP4	37
OXGR1	37
GAL	37
ADRA2B	37
SSTR3	37
CXCL11	37
SSTR4	37
FPR3	37
SSTR5	37
P2RY14	37
P2RY12	37
CCL19	37
CHRM4	37
GRM2	37
CXCL2	37
HRH4	37
C5AR1	37
RXFP3	37
GRM3	37
PPYR1	37
CCL27	37
TAS2R41	37
APLN	37
TAS2R40	37
NPBWR2	37
P2RY4	37
ADORA3	37
NPY2R	37
RGS10	37
HCAR1	37
HRH3	37
NPBWR1	37
TAS2R60	37
TAS2R5	37
GALR3	37
HCAR2	37
TAS2R16	37
GPR55	37
TAS2R42	37
RGS4	37
CCL21	37
HTR1A	37
NPY	37
TAS2R4	37
CXCL6	37
PNOC	37
ADORA1	37
CCL28	37
NPY1R	37
P2RY13	37
TAS2R43	37
SST	37
OPRK1	37
CNR2	37
PPY	37
CXCL3	37
NPW	37
CXCL13	37
OPRD1	37
GRM6	37
CXCR7	37
S1PR5	37
OXER1	37
GRM4	37
CXCL5	37
GALR2	37
NPB	37
PYY	37
APLNR	37
GPR18	37
GALR1	37
GRM8	37
CCL20	37
GPER	37
HEBP1	37
HCAR3	37
CCL25	37
TAS2R39	37
TAS2R1	37
CCL16	37
ZSWIM6	38
ZSWIM5	38
ZSWIM4	38
CSE1L	38
HECW2	39
ERV3-1	39
SLCO4C1	39
LYNX1	39
TAAR2	39
MEIOB	39
ADAMTS2	40
ADAMTS14	40
ADAMTS3	40
BMP1	40
PCOLCE2	40
PCOLCE	40
TLL1	40
IGLON5	41
NTM	41
LSAMP	41
C19orf47	41
OPCML	41
NEGR1	41
SPEM1	42
PIK3IP1	42
NBL1	42
TMCO6	42
SMIM2	42
UBQLN1	42
HOXB5	43
HOXA2	43
GSX2	43
HOXB2	43
HOXB3	43
GBX2	43
HOXC6	43
HOXB4	43
HOXA3	43
HOXB1	43
HOXA7	43
HOXC5	43
HOXB8	43
HOXB7	43
HOXB6	43
HOXC4	43
GBX1	43
GSX1	43
MNX1	43
HOXC8	43
HOXD1	43
HOXA4	43
HOXD3	43
HOXD8	43
HOXA6	43
HOXD4	43
MEOX1	43
HOXA5	43
TXNDC2	44
PDIA5	44
TXN	44
PDIA6	44
P4HB	44
TXNDC5	44
TXNDC11	44
TXNDC16	44
PDIA3	44
ERP27	44
PDIA4	44
TXNDC9	44
TMX3	44
DNAJC10	44
PDIA2	44
TXN2	44
PDILT	44
ERP44	44
TXNDC8	44
C17orf103	45
CST2	45
DSCR8	45
TMEM150A	45
SPINK2	45
KIAA0247	45
ADAMTSL4	45
GSTM5	46
GSTO1	46
GSTA3	46
MGST2	46
C2orf50	46
GSTK1	46
MGST1	46
GSTA1	46
GSTO2	46
GSTM4	46
GSTA5	46
GSTM2	46
GSTM1	46
MGST3	46
TXNDC12	46
GSTA4	46
GSTA2	46
GSTP1	46
GSTM3	46
TCF3	47
NEUROD2	47
BHLHE22	47
TCF24	47
TCF23	47
NEUROG1	47
PTF1A	47
ASCL1	47
NEUROD4	47
ATOH1	47
NHLH1	47
MESP1	47
ID4	47
NHLH2	47
BHLHE23	47
ASCL5	47
TCF15	47
LYL1	47
OLIG2	47
ASCL4	47
TAL2	47
ATOH8	47
MSGN1	47
TCF4	47
FERD3L	47
ASCL3	47
MSC	47
TCF12	47
SCXB	47
C9orf171	47
MESP2	47
NEUROG2	47
OLIG1	47
FIGLA	47
TWIST2	47
SCXA	47
TCF21	47
ATOH7	47
OLIG3	47
ANGPTL4	48
MED15	48
MED11	48
MED13	48
MED16	48
MED13L	48
MED12	48
MED25	48
ADIPOQ	48
PCK1	48
MED29	48
MED10	48
MED28	48
MED21	48
MED18	48
MED6	48
PPARGC1B	48
FABP4	48
MED30	48
MED17	48
MED9	48
MED7	48
MED23	48
PLIN1	48
EBF1	48
MED19	48
MED4	48
RBM14-RBM4	48
MED12L	48
CD36	48
MED20	48
MED22	48
MED8	48
MED31	48
MED27	48
MED24	48
IL24	49
IL26	49
IL28B	49
IFNK	49
IL7	49
IL21	49
IL19	49
CSH2	49
IL28A	49
CRLF1	49
OSM	49
IL9	49
IFNW1	49
CTF1	49
IL11	49
IFNA13	49
IFNA1	49
GH2	49
IL15	49
IL13RA2	49
IL20	49
TSLP	49
IFNE	49
CSH1	49
CNTF	49
CSF3	49
IL11RA	49
CLCF1	49
IL22	49
IL29	49
SLC6A7	50
SLC6A2	50
SLC6A6	50
SLC6A15	50
TMEM27	50
SLC6A1	50
SLC6A13	50
SLC6A17	50
SLC6A19	50
SLC6A20	50
SLC6A11	50
SLC6A8	50
SLC6A14	50
SLC6A18	50
SLC6A5	50
SLC6A9	50
SLC6A12	50
BRS3	51
GNB1	51
GPR61	51
GPR56	51
LGALS9C	52
GBP4	52
PLAC8	52
SAMD9L	52
IFI44	52
PARP12	52
DTX3L	52
EPSTI1	52
PLEKHA4	52
BST2	52
GBP7	52
MS4A4A	52
RTP3	52
LGALS9B	52
IRGM	52
IFI44L	52
RTP4	52
RSAD2	52
SAMD9	52
TMEM140	52
LGALS9	52
GBP6	52
HAUS7	53
HAUS5	53
HAUS1	53
HAUS8	53
HAUS6	53
HAUS3	53
HAUS4	53
PRMT7	54
TRMT1	54
NDUFAF5	54
DPH1	54
POLR3C	54
PDCD2	54
FAM203B	54
METTL21A	54
NOL8	54
ZNF622	54
WDR55	54
REXO1L1	54
DUS1L	54
DDX60	54
METTL21C	54
TWISTNB	54
WBSCR22	54
TRMT10A	54
ZNRD1	54
LTV1	54
MDN1	54
KLHDC4	54
FAM173A	54
NLE1	54
TRMT44	54
OGFOD1	54
DRG2	54
REXO1L10P	54
AAMP	54
TRMT2B	54
DUS4L	54
ELAC2	54
ISG20	54
ATAD3C	54
METTL1	54
REXO1	54
POLR1E	54
GPN3	54
BCCIP	54
ALKBH8	54
AEN	54
TEX10	54
ELAC1	54
WBSCR27	54
PPRC1	54
TRMT2A	54
CTU2	54
FAM203A	54
TRMT10C	54
NVL	54
WDR6	54
RPIA	54
RIOK3	54
ADA	54
CECR1	54
ZC3H15	54
DUS3L	54
RIOK2	54
KIAA1456	54
DPH2	54
ADAL	54
WDR4	54
REXO1L11P	54
TRMT5	54
IPPK	55
NUDT4	55
IP6K3	55
IP6K1	55
OPN1SW	56
GNG5P2	56
OPN1MW2	56
GPR176	56
SPATA2	56
PDC	56
ZNF277	56
OPN3	56
GABBR2	56
RGS9BP	56
TUB	56
RHO	56
C7orf26	57
VWA9	57
INTS1	57
NAIF1	57
INTS6	57
INTS5	57
SOX14	57
ASUN	57
ZMYND8	57
STIM1	58
EFCAB4B	58
ORAI2	58
ORAI1	58
ORAI3	58
STIM2	58
PCDHA12	59
PCDHA10	59
PCDHA9	59
CASS4	59
PCDHA7	59
PCDHA11	59
PCDHA5	59
PCDHA1	59
PCDHA8	59
PCDHA3	59
DCAF4	60
DCAF16	60
DCAF12	60
DCAF11	60
DCAF8	60
TRPC4AP	60
CRBN	60
DCAF6	60
DCAF17	60
DCAF10	60
DCAF5	60
C8B	61
C7	61
C8G	61
C8A	61
CETN3	62
CETN1	62
EFCAB3	62
OCM2	62
EFCAB2	62
EFCAB9	62
CABP1	62
SPATA21	62
EFCAB6	62
EFCAB7	62
CABP2	62
TNNC1	62
CABP4	62
PVALB	62
OCM	62
CABP7	62
EFCAB13	62
SCGN	62
CALN1	62
CALML4	62
EFCAB11	62
CALB2	62
TNNC2	62
CABP5	62
CALB1	62
RHBDL3	62
COG5	63
COG2	63
COG7	63
COG1	63
COG4	63
COG8	63
GOLGA3	63
MRGPRX1	64
GPR3	64
TMEM5	64
GNRHR2	64
DUSP14	65
STYXL1	65
DUSP4	65
SSH2	65
DUSP26	65
DUSP28	65
DUSP8	65
DUSP5	65
DUSP3	65
SSH3	65
STYX	65
DUSP16	65
DUSP6	65
DUSP22	65
DUSP15	65
DUPD1	65
DUSP18	65
DUSP27	65
DUSP10	65
DUSP9	65
EPM2A	65
DUSP1	65
DUSP13	65
SSH1	65
DUSP19	65
DUSP2	65
DUSP21	65
DUSP7	65
SLC5A3	66
SLC5A9	66
SLC5A10	66
SLC5A4	66
SLC5A2	66
SLC5A1	66
SLC5A11	66
TMEM120B	67
CCNDBP1	67
C6orf226	67
CCDC108	67
RBP5	67
PMP2	67
HIST1H2AA	68
HIST1H2AL	68
H2AFB1	68
HIST1H2AC	68
HIST1H2AD	68
HIST1H2AI	68
HIST1H2AM	68
H2AFB3	68
H2AFB2	68
HIST1H2AK	68
HIST2H2AB	68
HIST2H2AA4	68
HIST1H2AJ	68
HIST1H2AB	68
H2AFJ	68
HIST2H2AA3	68
H2AFY	68
HIST2H2AC	68
HIST1H2AG	68
HIST1H2AE	68
H2AFY2	68
HIST1H2AH	68
HIST3H2A	68
SLC35E4	69
SLC35E2B	69
SLC35E1	69
SLC35E3	69
SLC35E2	69
TREM1	70
CD300LB	70
CD300E	70
CLEC5A	70
NCR2	70
TYROBP	70
GLYAT	71
ACSS2	71
ACSS3	71
ACSM2B	71
ACSM1	71
ACSM4	71
C10orf129	71
ACSS1	71
ACSM3	71
AACS	71
ACSM5	71
ACSM2A	71
PCDHGA12	72
PCDHGA8	72
CDH20	72
PCDHGC4	72
PCDHGA5	72
PCDHGB4	72
PCDHGA4	72
PCDHGA7	72
CDH26	72
PCDHGA2	72
PCDHGA10	72
PCDHGA3	72
PCDHGA1	72
PCDHGB3	72
PCDHGB1	72
PCDHGB6	72
PCDHGA9	72
PCDHGC5	72
GIP	73
PTHLH	73
VIPR1	73
SCT	73
TSHR	73
PTGIR	73
MC1R	73
CALCR	73
ADCYAP1	73
CCDC34	73
GNAS	73
ACRBP	74
PASD1	74
PATE3	74
SPANXB2	74
GTF2IRD2B	74
C16orf88	74
SUMO2	74
HOXD12	75
HOXC13	75
HOXB13	75
HOXD10	75
HOXD11	75
HOXA13	75
PGBD3	75
HOXA10	75
HOXC10	75
PHTF1	75
HOXD13	75
HOXC12	75
HOXA11	75
HOXD9	75
HOXB9	75
HOXC11	75
LINS	75
HOXC9	75
TIGD6	76
CENPBD1	76
TIGD1	76
JRKL	76
TIGD4	76
TIGD3	76
TIGD2	76
TIGD7	76
POGK	76
MUC12	77
GALNT7	77
MUC6	77
GALNT13	77
WFDC2	77
MUC20	77
GALNT3	77
HTN3	77
GALNTL2	77
ST6GALNAC4	77
GCNT3	77
B4GALT5	77
MUC17	77
GALNT1	77
MUCL1	77
GALNT8	77
GALNT12	77
MUC7	77
MUC5AC	77
MUC15	77
GALNT14	77
GALNT6	77
B3GNT5	77
MUC16	77
GALNT11	77
B3GNT8	77
MUC4	77
ST6GALNAC2	77
GALNT10	77
MUC5B	77
MUC21	77
MUC3A	77
GALNT2	77
PRH1	77
ST6GAL1	77
MUC19	77
GALNT4	77
GALNT5	77
GCNT4	77
RYK	78
CASZ1	78
PCDH20	78
LYPD4	79
KRTAP5-1	79
SHBG	79
ASB16-AS1	79
GFRA4	80
PSPN	80
GFRA2	80
GFRA3	80
ARTN	80
NRTN	80
B4GALNT4	81
TEX28P1	81
TEX28	81
TEX28P2	81
B4GALNT3	81
C12orf75	82
FAM120AOS	82
AAED1	82
C3orf33	82
FAM102B	82
FAM219B	82
FAM104B	82
SAYSD1	82
TUSC1	82
TMEM52B	82
ANXA2R	82
KIAA0895	82
C19orf55	82
LDLRAD3	82
SLC48A1	82
GPR180	82
C1QL1	82
C2orf68	82
SETD9	82
RRNAD1	82
AUNIP	82
CASC4	82
ZBED3	82
TMEM241	82
FAM131A	82
FAM217B	82
TP53TG3	82
CAAP1	82
C10orf114	82
ELAVL1	82
HVCN1	83
CACNA1E	83
CATSPERB	83
CATSPER3	83
CATSPER2	83
CATSPERG	83
CATSPER4	83
CATSPERD	83
C1orf101	83
GLMN	84
KLHL7	84
KLHDC5	84
KCTD13	84
KLHL20	84
KBTBD10	84
SPOPL	84
KCTD10	84
KLHL3	84
KLHL8	84
GAN	84
TNFAIP1	84
ENC1	84
KLHL13	84
KLHL25	84
KLHL2	84
KLHL9	84
CDH3	85
CDH12	85
CDH7	85
CDH6	85
CDH13	85
CDH17	85
CDH8	85
CDH11	85
CDH24	85
CDH9	85
CDH4	85
CDH10	85
CDH18	85
MGAT4A	86
MGAT4B	86
FUT8	86
MGAT2	86
MGAT3	86
NCAN	87
CHST15	87
B3GAT3	87
CSPG4	87
VCAN	87
CHST3	87
CSGALNACT2	87
CHST13	87
CHST11	87
CHST7	87
BCAN	87
CSPG5	87
DSE	87
CHST14	87
UST	87
CHST12	87
RDH16	88
SDR16C5	88
DHRS3	88
RDH10	88
SDR9C7	88
DHRS4L2	88
DHRS9	88
RDH5	88
RDH8	88
RBM3	89
EIF4H	89
RALY	89
BOLL	89
SRSF10	89
RALYL	89
DAZ3	89
HNRNPCL1	89
DAZ4	89
TRNAU1AP	89
DAZ1	89
CIRBP	89
SLIRP	89
DAZ2	89
HNRNPA1L2	89
RBMXL3	89
SNRNP35	89
DAZL	89
HNRNPAB	89
PMP22	90
TMEM19	90
BSCL2	90
EMP1	90
SMIM3	90
VWA5B1	91
TPK1	91
ITIH4	91
KRT79	91
ITIH5	91
ITIH2	91
VWA5A	91
ITIH6	91
ITIH3	91
ITIH1	91
VWA5B2	91
GPX3	92
GPX1	92
GGT1	92
LHFPL5	92
LTC4S	92
GGT5	92
GPX4	92
GPX8	92
GPX2	92
GPX6	92
GGT6	92
GGT7	92
GSS	92
GPX7	92
PCGF2	93
PHC3	93
PCGF5	93
CBX7	93
ASXL1	93
SCML2	93
PHC2	93
PCGF3	93
CBX8	93
ANAPC13	93
BRE	93
CUL7	93
PCGF1	93
PHC1	93
ANAPC16	93
ANAPC15	93
PCGF6	93
CBX4	93
CBX2	93
RING1	93
YPEL1	94
YPEL4	94
YPEL5	94
YPEL2	94
YPEL3	94
ST6GAL2	95
FUT3	95
B3GALT2	95
B4GALT3	95
B3GALT1	95
B3GALT5	95
FUT6	95
GCNT2	95
B4GALT2	95
B4GALT4	95
FUT2	95
FUT9	95
FUT4	95
FUT5	95
FUT1	95
GNGT1	96
OR4F29	96
ARRB2	96
OR1D5	96
OR10X1	96
GNAL	96
OR10Z1	96
OR2A1	96
OR11H12	96
NDUFA12	97
NDUFB11	97
NDUFA6	97
COX7A2	97
NDUFA13	97
NDUFS6	97
UQCRB	97
NDUFA2	97
NDUFA8	97
NDUFB8	97
NDUFA3	97
UQCRH	97
NDUFA10	97
NDUFA9	97
NDUFV1	97
UQCRQ	97
NDUFV2	97
NDUFC2	97
NDUFA4	97
NDUFA7	97
PET100	97
NDUFA5	97
NDUFS8	97
NDUFB7	97
NDUFC2-KCTD14	97
MT-CYB	97
NDUFS3	97
NDUFS4	97
NDUFB9	97
NDUFB5	97
NDUFS2	97
UQCR10	97
NDUFS7	97
NDUFB6	97
SYT13	98
NRXN1	98
NXPH1	98
NXPH2	98
IL17F	99
IL17RC	99
IL17RA	99
IL17A	99
IL17RE	99
IL17C	99
ZDHHC18	100
ZDHHC14	100
ZDHHC11	100
ZDHHC6	100
ZDHHC24	100
ZDHHC1	100
ZDHHC8	100
ZDHHC20	100
ZDHHC22	100
ZDHHC9	100
ZDHHC3	100
ZDHHC7	100
ZDHHC15	100
ZDHHC11B	100
ZDHHC23	100
ZDHHC12	100
ZDHHC21	100
ZDHHC19	100
ZDHHC5	100
ZDHHC2	100
CHDH	101
FADS2	101
PAFAH1B3	101
PLA2G7	101
LPCAT1	101
PTDSS1	101
LPCAT2	101
LPCAT4	101
PAFAH2	101
SEZ6	101
PTDSS2	101
LYPLA1	101
TTLL2	102
TTLL10	102
TTLL3	102
TTLL8	102
TTL	102
TTLL1	102
TTLL5	102
TTLL9	102
HLA-DOA	103
HLA-DMA	103
HLA-DOB	103
AMIGO2	104
AMIGO1	104
AMIGO3	104
LIPG	105
DGAT2	105
PNPLA2	105
MGLL	105
PNLIPRP3	105
LIPF	105
PNLIP	105
PNPLA3	105
CEL	105
DAGLA	105
PLIN5	105
LIPC	105
MOGAT2	106
AWAT1	106
DGAT2L7P	106
MOGAT1	106
DGAT2L6	106
FEM1B	107
ANKRD35	107
NKPD1	107
POTEB	107
KIDINS220	107
POTEC	107
POTEM	107
UACA	107
FPGT-TNNI3K	107
KANK2	107
ANKRD27	107
ANKRD24	107
RAI14	107
GABPB2	107
TNNI3K	107
FEM1C	107
FEM1A	107
CASKIN2	107
POTED	107
ABTB1	107
ANKK1	107
POTEG	107
ANKS1A	107
CASKIN1	107
KANK4	107
KANK1	107
ANKS1B	107
KANK3	107
TRPA1	107
TOPBP1	108
TICRR	108
GLYATL3	108
TCFL5	108
ANKRD32	108
GLYATL2	108
GLYATL1	108
ABHD13	109
ABHD12B	109
FAM108A1	109
FAM108B1	109
FAM108C1	109
DEFB121	110
TMEM182	110
SYNE4	110
EDDM3B	110
BRICD5	110
HIST1H4C	111
HIST2H4A	111
HIST1H4D	111
HIST1H4K	111
H3F3A	111
HIST1H4I	111
H3F3C	111
HIST2H3D	111
HIST1H3A	111
HIST1H3D	111
HIST1H4B	111
HIST2H3A	111
HIST1H3G	111
HIST1H4F	111
HIST1H4G	111
HIST1H3F	111
HIST1H3E	111
HIST1H3H	111
HIST2H3C	111
HIST1H3J	111
HIST1H3I	111
HIST1H3B	111
HIST2H4B	111
HIST1H4L	111
HIST1H4E	111
HIST1H3C	111
HIST4H4	111
HIST1H4A	111
HIST1H4H	111
HIST1H4J	111
H3F3B	111
HTR3A	112
HTR3E	112
HTR3C	112
HTR3B	112
HTR3D	112
C14orf1	113
CYP2W1	113
CYP27A1	113
CYP4X1	113
CYP21A2	113
CYP4F22	113
CYP4F12	113
TBXAS1	113
CYP2A7	113
CYP4V2	113
CYP4A22	113
CYP26B1	113
CYP26C1	113
CYP4F11	113
CYP2R1	113
CYP46A1	113
CYP4B1	113
CYP3A43	113
CYP24A1	113
CYP27B1	113
CYP4Z1	113
CYP17A1	113
CYP27C1	113
RXRG	114
HNF4A	114
NR5A2	114
ZNHIT3	114
NR1H2	114
NR1I3	114
MMRN2	114
THRB	114
THRA	114
NR6A1	114
RARA	114
ATN1	114
ESRRA	114
NR4A1	114
NR4A3	114
NRIP1	114
NCOA4	114
RXRA	114
RXRB	114
JMJD1C	114
ESR2	114
PNRC2	114
NR1I2	114
PGR	114
NR1H4	114
NR0B1	114
NR0B2	114
LRIF1	114
NR2F1	114
NKX2-4	114
NR1H3	114
VDR	114
MBLAC1	114
NR5A1	114
IL1RL2	115
IL18	115
IL18RAP	115
IL37	115
IL18R1	115
GADD45B	115
GADD45G	115
IL18BP	115
LIPM	116
